,country,HDI Rank,country_code,year,value
1109,Ukraine,74,UKR,2019,0.779
1120,United Kingdom,13,GBR,2000,0.874
1121,United Kingdom,13,GBR,2001,0.878
1122,United Kingdom,13,GBR,2002,0.881
1123,United Kingdom,13,GBR,2003,0.885
1124,United Kingdom,13,GBR,2004,0.892
1125,United Kingdom,13,GBR,2005,0.897
1126,United Kingdom,13,GBR,2006,0.896
1127,United Kingdom,13,GBR,2007,0.899
1128,United Kingdom,13,GBR,2008,0.903
1129,United Kingdom,13,GBR,2009,0.906
1130,United Kingdom,13,GBR,2010,0.912
1131,United Kingdom,13,GBR,2011,0.906
1132,United Kingdom,13,GBR,2012,0.904
1133,United Kingdom,13,GBR,2013,0.921
1134,United Kingdom,13,GBR,2014,0.925
1135,United Kingdom,13,GBR,2015,0.923
1136,United Kingdom,13,GBR,2016,0.924
1137,United Kingdom,13,GBR,2017,0.926
1138,United Kingdom,13,GBR,2018,0.928
1139,United Kingdom,13,GBR,2019,0.932
