,country_code,country,year,value
1875,UKR,Ukraine,2005,295410.0037
1876,UKR,Ukraine,2006,303989.9902
1877,UKR,Ukraine,2007,312140.0146
1878,UKR,Ukraine,2008,301200.0122
1879,UKR,Ukraine,2009,251619.9951
1880,UKR,Ukraine,2010,268920.0134
1881,UKR,Ukraine,2011,283339.9963
1882,UKR,Ukraine,2012,277109.9854
1883,UKR,Ukraine,2013,270269.989
1884,UKR,Ukraine,2014,237729.9957
1885,UKR,Ukraine,2015,191070.0073
1886,UKR,Ukraine,2016,201660.0037
1887,UKR,Ukraine,2017,174940.0024
1888,UKR,Ukraine,2018,185619.9951
1889,UKR,Ukraine,2019,174729.9957
1890,XKX,Kosovo,2008,7455.011
1891,XKX,Kosovo,2009,8192.078
1892,XKX,Kosovo,2010,8426.766
1893,XKX,Kosovo,2011,8368.094
1894,XKX,Kosovo,2012,7942.722
1895,XKX,Kosovo,2013,8074.734
1896,XKX,Kosovo,2014,7260.66
1897,XKX,Kosovo,2015,8408.431
1898,XKX,Kosovo,2016,8943.813
