iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
MNE,Europe,Montenegro,07/03/2023,288622,30,61.143,2805,0,0.571,460261.975,47.841,97.504,4473.099,0,0.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829,627082,,,,
NLD,Europe,Netherlands,04/03/2023,8598182,557,576.286,22992,0,0,489533.831,31.713,32.811,1309.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020,,,,
NOR,Europe,Norway,07/03/2023,1479333,34,44.286,5213,0,0,272220.243,6.257,8.149,959.273,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,
POL,Europe,Poland,07/03/2023,6437598,4833,2587.571,118970,18,12.286,161516.791,121.258,64.921,2984.91,0.452,0.308,,,,,,,,,,,,,,,,,,,57920671,22870823,22642606,15293093,1182,1154,145.32,57.38,56.81,38.37,29,59,0,,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144,,,,
PRT,Europe,Portugal,07/03/2023,5570473,123,230.429,26266,10,6.857,542357.176,11.976,22.435,2557.333,0.974,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,10270857,,,,
ROU,Europe,Romania,05/03/2023,3346046,5704,814.857,67736,32,4.571,170201.945,290.143,41.449,3445.499,1.628,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270,,,,
RUS,Europe,Russia,07/03/2023,22363740,10449,13038.571,396378,42,39.714,154538.236,72.205,90.099,2739.057,0.29,0.274,,,,,,,,10089,69.717,,,,,,,,,,,,,,,,,,,,,,,,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,144713312,,,,
SRB,Europe,Serbia,07/03/2023,2497248,953,792,17864,9,6.143,363418.601,138.688,115.258,2599.706,1.31,0.894,,13,1.892,221,32.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,6871547,,,,
SVK,Europe,Slovakia,07/03/2023,1863590,171,100.143,21031,0,1.429,330221.469,30.301,17.745,3726.618,0,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,
SVN,Europe,Slovenia,07/03/2023,1330654,656,344.571,9150,0,0.286,627713.467,309.457,162.546,4316.357,0,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,2119843,,,,
ESP,Europe,Spain,04/03/2023,13770429,7093,1013.286,119479,235,33.571,289546.365,149.142,21.306,2512.246,4.941,0.706,,94,1.977,1720,36.166,83,1.745,1451,30.51,,,,,,,,,,,,,,,,,,,,,,,,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47558632,,,,
SWE,Europe,Sweden,03/03/2023,2698535,115,94.429,23731,0,2,255801.093,10.901,8.951,2249.523,0,0.19,,9,0.853,466,44.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10549349,,,,
CHE,Europe,Switzerland,05/03/2023,4391007,0,192.286,13949,0,0.429,502376.474,0,21.999,1595.909,0,0.049,,20,2.288,386,44.162,,,,,,,,,,,,,,,,,,,266,,,,,30,8,0,,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471,,,,
UKR,Europe,Ukraine,06/03/2023,5399231,0,1398.857,111298,0,9,135994.807,0,35.234,2803.353,0,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744,,,,
GBR,Europe,United Kingdom,03/03/2023,24396534,1945,3052,207695,,,361382.292,28.811,45.209,3076.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,67508936,,,,
MKD,Europe,Macedonia,07/03/2023,346852,0,0,9662,0,0,165672.051,0,0,4615.004,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774,2093606,,,,
